City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,opuwo,-18.0607,13.84,32.35,14,13,4.7,NA,1683034517
1,sibut,5.718,19.0739,35.04,32,97,2.22,CF,1683034517
2,yulinshi,38.2906,109.7494,20.76,42,76,7.14,CN,1683034517
3,bikenibeu village,1.3673,173.1241,27.98,83,75,1.03,KI,1683034517
4,waitangi,-43.9535,-176.5597,14.34,90,0,2.24,NZ,1683034518
5,necochea,-38.5473,-58.7368,13.81,48,0,3.77,AR,1683034518
6,abashiri,44.0213,144.2697,7.75,81,0,4.27,JP,1683034518
7,puerto natales,-51.7236,-72.4875,9.25,49,75,19.55,CL,1683034518
8,talcahuano,-36.7167,-73.1167,6.82,93,0,1.54,CL,1683034355
9,dolores,-36.3132,-57.6792,14.98,31,0,3.09,AR,1683034519
10,karratha,-20.7377,116.8463,26.19,55,8,1.9,AU,1683034519
11,port alfred,-33.5906,26.891,20.1,82,100,1.34,ZA,1683034519
12,tura,25.5198,90.2201,22.12,71,56,0.68,IN,1683034519
13,flekkefjord,58.2971,6.6607,10.53,54,64,7.28,NO,1683034520
14,ladik,40.9106,35.8919,13.49,62,59,4.07,TR,1683034520
15,ushuaia,-54.8,-68.3,5.79,87,75,3.09,AR,1683034520
16,enewetak,11.3474,162.3373,27.05,81,98,9.49,MH,1683034520
17,haiku-pauwela,20.9219,-156.3051,21.69,86,0,2.57,US,1683034521
18,vilyuchinsk,52.9306,158.4028,2.15,87,96,2.25,RU,1683034521
19,uturoa,-16.7333,-151.4333,27.74,79,100,7.57,PF,1683034521
20,albany,42.6001,-73.9662,9.89,80,100,0.45,US,1683034521
21,bethel,41.3712,-73.414,10.2,88,100,3.09,US,1683034522
22,ribeira grande,38.5167,-28.7,17.22,67,20,6.71,PT,1683034522
23,margaret river,-33.95,115.0667,12.54,83,0,3.98,AU,1683034522
24,hawaiian paradise park,19.5933,-154.9731,20.73,88,0,2.57,US,1683034522
25,adamstown,-25.066,-130.1015,24.91,76,5,7.24,PN,1683034523
26,taltal,-25.4,-70.4833,18.18,72,6,1.82,CL,1683034523
27,el nido,11.1858,119.3956,28.77,78,100,4.72,PH,1683034523
28,beihai,21.4833,109.1,25.6,86,46,5.63,CN,1683034523
29,kenai,60.5544,-151.2583,2.3,82,100,3.6,US,1683034523
30,columbia falls,48.3725,-114.1815,12.73,55,0,2.57,US,1683034398
31,al kharijah,25.4514,30.5464,33.51,12,0,5.49,EG,1683034524
32,myitkyina,25.3833,97.4,20.02,93,45,1.71,MM,1683034524
33,la passe,45.5549,-0.8967,21.13,53,87,4.73,FR,1683034524
34,grytviken,-54.2811,-36.5092,-0.46,85,99,2.79,GS,1683034524
35,sokoni,-6.4333,39.55,28.92,72,29,8.59,TZ,1683034525
36,yazoo city,32.8551,-90.4056,15.51,54,0,2.17,US,1683034323
37,utrik,11.2278,169.8474,26.88,79,100,9.62,MH,1683034525
38,port-aux-francais,-49.35,70.2167,3.62,78,90,8.2,TF,1683034525
39,bogale,16.2833,95.4,30.03,61,13,3.82,MM,1683034525
40,aykhal,66.0,111.5,-13.85,96,18,3.17,RU,1683034526
41,pretoria,-25.7449,28.1878,26.43,48,96,4.12,ZA,1683034282
42,blackmans bay,-43.0167,147.3167,7.61,93,97,1.57,AU,1683034526
43,port mathurin,-19.6833,63.4167,26.1,77,17,4.95,MU,1683034526
44,hithadhoo,-0.6,73.0833,26.96,81,100,5.94,MV,1683034526
45,bayganin,48.6947,55.8742,24.59,31,100,8.31,KZ,1683034527
46,bredasdorp,-34.5322,20.0403,18.76,67,99,3.62,ZA,1683034527
47,natal,-5.795,-35.2094,29.36,70,40,5.14,BR,1683034527
48,west island,-12.1568,96.8225,27.99,83,40,7.72,CC,1683034527
49,jingmen,31.0336,112.2047,20.85,87,100,3.65,CN,1683034527
50,fort bragg,35.139,-79.006,18.23,50,0,5.14,US,1683034528
51,kolonia,50.9333,6.95,13.79,62,75,4.12,DE,1683034528
52,chul'man,56.8479,124.9104,1.08,100,100,0.82,RU,1683034528
53,aasiaat,68.7098,-52.8699,-5.43,79,8,3.97,GL,1683034528
54,stanley,54.868,-1.6985,10.95,79,75,2.57,GB,1683034529
55,college,64.8569,-147.8028,1.99,81,75,3.09,US,1683034529
56,whitehorse,60.7161,-135.0538,6.43,65,75,7.2,CA,1683034529
57,buka,40.8108,69.1986,22.23,33,0,4.79,UZ,1683034529
58,papatowai,-46.5619,169.4708,13.68,85,100,2.52,NZ,1683034530
59,fisterra,42.9049,-9.2629,23.9,67,100,1.94,ES,1683034530
60,fortuna,40.5982,-124.1573,8.85,94,99,1.02,US,1683034530
61,iqaluit,63.7506,-68.5145,-0.15,86,100,10.73,CA,1683034530
62,punta arenas,-53.15,-70.9167,7.06,70,75,11.83,CL,1683034530
63,manta,-0.95,-80.7333,25.88,83,75,0.0,EC,1683034284
64,hermanus,-34.4187,19.2345,17.67,78,65,2.77,ZA,1683034531
65,avarua,-21.2078,-159.775,22.03,88,75,4.63,CK,1683034531
66,acapulco de juarez,16.8634,-99.8901,23.9,78,20,2.06,MX,1683034531
67,coahuayana de hidalgo,18.7,-103.6583,26.06,35,0,1.0,MX,1683034532
68,canutama,-6.5339,-64.3831,26.72,83,99,1.27,BR,1683034532
69,campofelice di roccella,37.9902,13.8854,16.99,83,100,0.89,IT,1683034532
70,inebolu,41.9747,33.7608,13.37,55,1,1.77,TR,1683034532
71,ugoofaaru,5.6667,73.0,29.24,73,100,8.05,MV,1683034533
72,san carlos del zulia,9.0,-71.9135,29.28,71,8,1.55,VE,1683034533
73,okhotsk,59.3833,143.3,-1.04,89,100,1.79,RU,1683034533
